p0485	R	The fire broke out.
p1192	R	He was taken to the hospital.
p1307	R	Stanley got to the car.
p1667	X	-
p0150	R	They had to move again.
p0563	R	Dogyun was destroyed.
p0464	R	Abigail drifted off into an exhausted sleep.
p0761	X	-
p0174	U	I surrendered to sleep.
p0634	R	She arrived at a hospital.
p0297	R	She bounced back down the hall.
p1774	R	His body was dumped in the Indian Ocean.
p1567	N	The waters of the Lade reached Perth.
p1653	R	The real fighting began.
p1214	R	The cells were fixed with 3.7% paraformaldehyde.
p0855	N	They had an opportunity to say it about him.
p0349	X	-
p1530	R	The opera started.
p0326	R	He filed his previous four petitions.
p0264	R	I realized that he wasn't moving.
p0663	R	Several members glued themselves to the London Stock Exchange building.
p0254	R	Church began.
p1030	R	She died.
p1401	X	-
p1445	R	They were overrun by the Xiongnu.
p1787	X	-
p1109	R	The concept became widespread in Calgary.
p0370	X	-
p0088	R	He set out to spread Christianity throughout Scotland.
p0526	U	The result was declared.
p1645	R	She stopped sliding.
p1006	X	-
p0693	R	He was activated.
p0814	R	These more final revolutions occurred.
p0316	N	I reached the trees.
