Model,frame,Prompt_Style,Sample_Size,ev_a,p_a,ev_b,p_b,y_a,y_b,x_a,x_b,ratio_a_False,ratio_a_True,n_valid_False,n_valid_True,average_first_option_rate,n_valid_total
anthropic/claude-haiku-4.5,gain,math_reasoning_one,20,0.4,0.1,0.35,0.05,0,0,4,7,0.9,0.9,10,10,0.5,20
anthropic/claude-haiku-4.5,gain,math_reasoning_one,20,0.8,0.2,0.7,0.1,0,0,4,7,1,0.3,20,20,0.85,40
anthropic/claude-haiku-4.5,gain,math_reasoning_one,20,1.6,0.4,0.35,0.05,0,0,4,7,1,0.5555555555555556,10,9,0.7222222222222222,19
anthropic/claude-haiku-4.5,gain,math_reasoning_one,20,30,0.3,28.8,0.3,0,0,100,96,1,0.7,10,10,0.65,20
anthropic/claude-haiku-4.5,gain,math_reasoning_one,20,35,0.35,33.6,0.35,0,0,100,96,1,0.6666666666666666,10,9,0.6666666666666667,19
anthropic/claude-haiku-4.5,gain,math_reasoning_one,20,35,0.35,38.4,0.4,0,0,100,96,1,0.8,10,10,0.6,20
anthropic/claude-haiku-4.5,gain,math_reasoning_one,20,40,0.4,33.6,0.35,0,0,100,96,1,0.625,10,8,0.6875,18
anthropic/claude-haiku-4.5,gain,math_reasoning_one,20,3500,1,2750,0.55,0,0,3500,5000,1,0,10,10,1,20
anthropic/claude-haiku-4.5,gain,math_reasoning_one,20,3500,1,3500,0.7,0,0,3500,5000,0.8,0,10,10,0.9,20
anthropic/claude-haiku-4.5,gain,math_reasoning_one,20,3500,1,3750,0.75,0,0,3500,5000,0.1,0,10,10,0.55,20
anthropic/claude-haiku-4.5,gain,math_reasoning_one,20,3500,1,4250,0.85,0,0,3500,5000,0,0,8,10,0.5,18
anthropic/claude-haiku-4.5,gain,math_reasoning_one,100,0.6,0.15,0.84,0.12,0,0,4,7,0.9,1,10,10,0.45,20
anthropic/claude-haiku-4.5,gain,math_reasoning_one,100,0.8,0.2,0.7,0.1,0,0,4,7,1,1,10,10,0.5,20
anthropic/claude-haiku-4.5,gain,math_reasoning_one,100,0.88,0.22,0.56,0.08,0,0,4,7,0.3,0.8,10,10,0.2499999999999999,20
anthropic/claude-haiku-4.5,gain,math_reasoning_one,100,0.96,0.24,0.77,0.11,0,0,4,7,1,0.8,10,10,0.6,20
anthropic/claude-haiku-4.5,gain,math_reasoning_one,100,29,0.29,32.64,0.34,0,0,100,96,0.9,0.4,10,10,0.75,20
anthropic/claude-haiku-4.5,gain,math_reasoning_one,100,33,0.33,32.64,0.34,0,0,100,96,1,0.8,10,10,0.6,20
anthropic/claude-haiku-4.5,gain,math_reasoning_one,100,37,0.37,37.44,0.39,0,0,100,96,0.8,0.5,10,10,0.65,20
anthropic/claude-haiku-4.5,gain,math_reasoning_one,100,39,0.39,30.72,0.32,0,0,100,96,1,0,10,10,1,20
anthropic/claude-haiku-4.5,gain,math_reasoning_one,100,3500,1,3600,0.72,0,0,3500,5000,0.6666666666666666,0,9,10,0.8333333333333333,19
anthropic/claude-haiku-4.5,gain,math_reasoning_one,100,3500,1,3650,0.73,0,0,3500,5000,1,0,10,10,1,20
